,H_Bins_Width,H_Bins_Low_Energy
0,0.309,7.045
1,0.536,7.354
2,0.594,7.89
3,0.7,8.484
4,0.457,9.184
5,0.14,10.6
6,0.24,10.74
7,0.37,10.98
8,0.45,11.35
9,0.63,11.8
10,1.25,12.43
11,0.93,13.68
12,1.04,14.61
13,1.17,15.65
14,1.38,16.82
15,1.45,18.2
16,1.59,19.65
17,1.88,21.24
18,1.97,23.12
19,2.11,25.09
20,2.24,27.2
21,2.53,29.44
22,2.91,31.97
23,3.02,34.88
24,3.28,37.9
25,3.81,41.18
26,4.08,44.99
27,4.31,49.07
28,4.65,53.38
29,5.07,58.03
30,5.87,63.1
31,6.14,68.97
32,6.53,75.11
33,7.82,81.64
34,8.17,89.46
35,7.27,97.63
